cluster_id,keyphrase,tf_score,bug_id,priority
164,pp customize,0.126,10217,P1
164,pp customize button,0.126,10217,P1
165,loader,0.093,13424,P5
165,loading,0.081,8705,P2
166,mailto,0.183,5247,P3
166,mailto link,0.127,5247,P3
166,mailto,0.109,7640,P2
166,mailto urls,0.108,5247,P3
166,mailto link handling,0.095,5247,P3
166,mailto link handling hasn,0.095,5247,P3
166,mailto url,0.094,7640,P2
167,set bold,0.172,5148,P3
167,bold text,0.172,5148,P3
167,set bold text,0.172,5148,P3
167,bold,0.134,10756,P5
167,setting bold,0.081,10756,P5
167,setting bold won,0.081,10756,P5
168,child,0.142,15083,P4
168,children,0.08,11824,P4
168,children,0.074,6873,P1
168,kids,0.056,2056,P3
169,area elements,0.113,8131,P2
169,contains area,0.072,8131,P2
169,contains area elements,0.072,8131,P2
170,messages,0.11,6873,P1
170,message,0.072,8705,P2
171,imap,0.109,6873,P1
171,imap code,0.073,6873,P1
172,refresh,0.13,10261,P1
172,restart,0.098,7406,P2
172,refresh,0.086,21081,P5
173,textual information,0.204,24126,P5
174,domain,0.067,2875,P3
174,domain guessing,0.065,2875,P3
175,foo jscontext,0.172,5416,P4
175,native foo jscontext,0.172,5416,P4
176,compareversion,0.213,10180,P2
176,compareversion string,0.138,10180,P2
176,compareversion string smrtupdt txt,0.082,10180,P2
176,package compareversion string smrtupdt,0.082,10180,P2
176,22 package compareversion string,0.082,10180,P2
177,attribute changes,0.089,3246,P3
177,attributes,0.073,24125,P5
177,attributes,0.051,1995,P4
178,useragent,0.104,6117,P1
178,general useragent,0.098,6117,P1
178,general useragent vendorcomment,0.089,6117,P1
179,win 95,0.097,11229,P4
179,95 98,0.055,12309,P4
180,install exe,0.207,10037,P2
180,exe does,0.134,10037,P2
180,install exe does,0.134,10037,P2
180,exe help,0.113,24979,P5
181,dll plds3 dll,0.141,10342,P2
181,plds3 dll plds3,0.113,10342,P2
181,dll plds3 dll plds3,0.113,10342,P2
181,plds3 dll plds3 dll,0.113,10342,P2
182,ignorable,0.061,2056,P3
182,skipping ignorable,0.058,2056,P3
183,list block list,0.089,3246,P3
183,block list numbering code,0.089,3246,P3
183,list block list numbering,0.089,3246,P3
184,list length,0.1,10016,P1
184,list length,0.094,7568,P1
185,installer spec,0.089,15853,P4
185,installer spec mac,0.089,15853,P4
186,prunichar,0.167,9589,P2
186,return prunichar,0.135,9589,P2
187,http link,0.098,7406,P2
187,url,0.07,9897,P2
188,mime emitters src,0.134,11557,P5
188,mailnews mime emitters,0.134,11557,P5
188,mailnews mime emitters src,0.134,11557,P5
189,entities,0.118,10341,P1
189,named entities,0.098,13068,P4
190,save file saving file,0.073,10050,P2
190,windows save file saving,0.073,10050,P2
190,native windows save file,0.073,10050,P2
191,msvcrt,0.087,5577,P2
191,msvcrt dll,0.087,5577,P2
192,dependency tree,0.2,7229,P3
192,dependencies,0.166,7252,P3
192,dependency,0.144,7252,P3
192,dependencies,0.11,18287,P5
193,progress meter,0.114,8705,P2
193,progress bar,0.105,8705,P2
194,utf,0.109,7640,P2
194,unicode,0.074,8427,P2
194,unicode,0.043,9101,P2
195,wordpad,0.073,8427,P2
195,notepad,0.073,8427,P2
196,short heights corrupted,0.086,17089,P4
196,short heights corrupted vertical,0.086,17089,P4
197,module base,0.119,13423,P4
197,const module base,0.105,13423,P4
198,hash table,0.139,35,P3
198,preference hash table,0.139,35,P3
199,enhancements,0.137,20418,P5
199,enhancement request,0.13,5148,P3
199,enhancements,0.063,9412,P1
199,enhancement requests,0.06,9412,P1
200,dogfood mouse,0.132,17165,P4
200,dogfood mouse wheel scrolling,0.132,17165,P4
201,paste,0.112,4722,P1
201,pasted,0.105,7406,P2
201,copy paste,0.099,4722,P1
201,cut copy paste,0.098,4722,P1
201,copy paste,0.076,8427,P2
202,xpcom ds nsstring2,0.087,5577,P2
202,nsstring2 cpp,0.087,5577,P2
202,nsstring2 cpp line,0.087,5577,P2
202,ds nsstring2 cpp line,0.087,5577,P2
202,xpcom ds nsstring2 cpp,0.087,5577,P2
203,proxy,0.163,10276,P1
203,change proxies,0.157,20276,P5
203,proxies,0.127,10276,P1
203,enable proxy,0.125,10276,P1
203,proxy support,0.108,10276,P1
203,proxy,0.081,2875,P3
203,proxy issues,0.074,10276,P1
203,proxy server,0.074,2875,P3
203,proxies,0.061,2875,P3
203,proxy servers,0.06,2875,P3
204,img,0.1,24125,P5
204,img,0.087,8131,P2
204,img element,0.075,8131,P2
205,drag,0.159,11824,P4
205,dragging,0.087,13093,P5
205,mouse drag,0.086,4722,P1
205,drag,0.066,4252,P3
206,ignorable whitespace,0.061,2056,P3
206,skipping ignorable whitespace,0.058,2056,P3
207,netwerk,0.124,11557,P5
207,netwerk protocol,0.1,11557,P5
208,hotkey,0.265,20276,P5
208,add hotkey,0.157,20276,P5
209,padding,0.138,14903,P4
209,padding,0.063,6625,P2
210,xp menus,0.176,14903,P4
210,xpmenus,0.162,14903,P4
210,xpmenu positioning,0.132,15436,P4
210,xpmenus menuitems,0.104,14903,P4
211,modules libimg,0.102,10083,P1
211,libimg src,0.077,10083,P1
211,modules libimg src,0.077,10083,P1
212,raptorgfxwin,0.141,10342,P2
212,raptorgfxwin dll,0.141,10342,P2
212,dll raptorview,0.139,10162,P1
212,raptorview dll,0.139,10162,P1
212,dll raptorview dll,0.139,10162,P1
212,raptorwidget dll,0.13,10162,P1
212,dll raptorwidget dll,0.13,10162,P1
212,raptorview dll raptorview dll,0.13,10162,P1
212,dll raptorview dll raptorview,0.13,10162,P1
212,dll raptorhtml,0.119,10162,P1
212,raptorgfxwin dll raptorgfxwin dll,0.113,10342,P2
213,save button,0.147,11444,P4
213,save link,0.08,23207,P5
214,edit,0.149,5563,P3
214,editing,0.085,2864,P3
215,actual result,0.132,15436,P4
215,shot actual result,0.132,15436,P4
216,optional user interaction param,0.147,11444,P4
216,add optional user interaction,0.147,11444,P4
217,command,0.108,10321,P2
217,commands,0.1,4722,P1
217,command,0.092,10756,P5
217,command,0.062,27771,P5
218,customize button,0.265,10217,P1
218,customize button does,0.214,10217,P1
219,rang,0.23,15731,P4
219,rang fail,0.096,15731,P4
219,rang deserve,0.096,15731,P4
220,tabbing,0.197,8014,P1
220,tab,0.117,8014,P1
220,tabbing works,0.113,8014,P1
220,tab key,0.104,8014,P1
220,tab,0.091,1859,P5
220,tab key,0.077,1859,P5
221,spent,0.058,7251,P3
222,arial,0.186,12230,P5
222,arial 10 pt,0.162,12230,P5
223,dogfood,0.176,17165,P4
223,dogfood issue,0.119,7378,P3
223,dogfood,0.09,8705,P2
224,allows,0.091,15286,P4
225,nswinreg setvalue nswinreg getvalue,0.175,10190,P2
225,feature nswinreg setvalue,0.103,10190,P2
225,feature nswinreg setvalue nswinreg,0.103,10190,P2
225,implemented nswinreg setvalue,0.103,10190,P2
226,bookmarks,0.489,11417,P5
226,bookmarks tasks,0.382,11417,P5
